,0,Atoms
203,COc1cnc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OC[C@@H]5Cc6ccccc6N5C(C)=O)ccc43)cc2)nc1,50
204,O=C(Nc1ccccc1C(=O)NC1CCCCNC1=O)c1cc2ccccc2s1,29
205,c1cncc(C2CCCCN2)c1,12
206,COc1cc(F)c(C(C)C)cc1-c1ccc(C(F)(F)F)cc1CN1C(=O)O[C@H](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@H]1C,44
207,CN(C)N(C)C(=O)[C@@]1(Cc2ccccc2)CCCN(C(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)C(C)(C)N)C1,40
208,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO,25
209,CC(=O)Nc1ccc(OC[C@](C)(O)C(=O)Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)cc1,31
210,C=C1CCC2[C@@](C)(CC[C@@H](O)[C@@]2(C)CO)[C@@H]1C/C=C1/C(=O)OC[C@H]1O,25
211,CC12C=CCC1C1CCC3CC(=O)CCC3(C)C1CC2,20
212,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@@]43C)[C@@H]1CCC2=O,21
213,C/C=C/c1ccc(OC)cc1,11
214,COc1ccc(-c2cc(=S)ss2)cc1,14
215,CC(=O)OC[C@]12CCC(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)[C@@]2(C)[C@@]12CO2,26
216,COc1ccc(C(=O)N2CCCC2=O)cc1,16
217,CN1C2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@@H](O)C2,22
218,COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1,19
219,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ccnc2cc1OCC1(N)CC1,30
220,Clc1cccc(SC2CCNCC2)n1,14
221,CCOc1nc2c(N)ncnc2n1CC,15
222,COc1cc2cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)C(C)C)[C@]1(C)O[C@H]1[C@H](C)[C@@H]1C[C@@](O)(NC(=O)O1)[C@H](OC)C=C/C=C(/C)C2,44
223,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)N(C)C(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)CCCNC(=N)N)C(N)=O,68
224,CCCCN(CC)c1nc(C)nc2c1c(C)c(C)n2-c1c(C)cc(C)cc1C,28
225,O=C(O)c1ccccc1NC(=O)C12CC3CC(CC(C3)C1)C2,22
226,O=C1c2ccccc2C(=O)c2ccccc21,16
227,O=C(O)C1O[Sb]2OC(=O)C(O2)C(C(=O)O)O[Sb]2OC(=O)C1O2,22
228,O=C1O[SbH]23OC(=O)C(O2)C2O[SbH]4(OC(=O)C(O4)C1O3)OC2=O,22
229,CCCCCC[C@H]1C(=O)O[C@H](C)C(NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CC(C)C,39
230,Cc1ccc(C(C)C)cc1O,11
231,OB1OCc2cc(Cl)ccc21,11
232,CC(=C\c1ccc(Cl)cc1)/C(C)=N/O,14
233,COc1cc(OC)c2c(=O)nc(-c3cc(C)c(OCCO)c(C)c3)[nH]c2c1,27
234,Cc1nnc2n1-c1sc(CCC(=O)N3CCOCC3)cc1C(c1ccccc1Cl)=NC2,31
235,N#CC1(c2ccc(NC(=O)c3cccnc3NCc3ccncc3)cc2)CCCC1,30
236,Cc1c(C)c2c(c(C)c1O)CCC(C)(C)O2,16
